#QD		128K_BW	256_BW	512K_BW	1M_BW
QD=1	170174	170232	170200	170212
QD=2	170222	170132	170182	170146
QD=4	170178	170190	170190	170224
QD=8	170118	170183	170162	170222	
QD=16	170172	170179	170196	170175
