VM=4	40.0	0.945
VM=8	40.0	1.022
VM=16	36.22	154.508
VM=32	18.0	448.796
VM=48	10.18	933.653
VM=64	7.2065	1266.945
VM=80	5.9318	1570.303
VM=120	3.9919	2662.028
VM=160	2.7763	3872.730
VM=200	2.2665	5138.797
