#QD		128K_BW	256_BW	512K_BW	1M_BW
QD=1	170231	170230	170290	170253
QD=2	170275	170294	170311	170249
QD=4	170290	170319	170318	170321
QD=8	170284	170320	170234	170301	
QD=16	170312	170275	170287	170279
