#QD		128K_BW	256_BW	512K_BW	1M_BW
QD=1	545		586		611		610
QD=2	592		607		610		614	
QD=4	556		605		606		614
QD=8	435		601		608		609
QD=16	464		608		605		605
QD=32	491		611		606		613
QD=64	530		609		608		607
